,ID,Call Number,GLOTREC|Cat Link,Catalogue,Library Catalogue,Year,Publisher,Place,Title,Authors,Pages,Format,School Subject,Level of Education,Document Type,Country of Use
20,1027063322,"RA S-45(3,2006)6",gei1027063322,GEI,PPN=1027063322,2006,A-Z Editora,Buenos Aires,"Sociales en acción EGB 2o ciclo 6, [Schülerband] autores: Roberto Damín, Vilma Paura, Ricardo Tauber [und 3 weitere]","['Damin, Roberto', 'Paura, Vilma', 'Tauber, Ricardo']",238 Seiten Illustrationen,Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
21,1027262996,"RA S-44(1,2007)5",gei1027262996,GEI,PPN=1027262996,2007,A-Z Editora,Buenos Aires,"Los buscadores sociales 5, [Schülerband] / José Cardaci, Marcela Roberts, Cecilia Villarinos","['Cardaci, Jose', 'Roberts, Marcela', 'Villarinos, Cecilia']","167 Seiten Illustrationen, Diagramme, Karten",Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
22,1027268447,"RA S-44(1,2007)4",gei1027268447,GEI,PPN=1027268447,2007,A-Z Editora,Buenos Aires,"Los buscadores sociales 4, [Schülerband] / María Victoria Alves de Castro, Cristina Juliarena, Marcela Roberts, Valeria Snitcofsky","['Alves De Castro, Maria', 'Juliarena, Cristina', 'Roberts, Marcela', 'Snitcofsky, Valeria']","167 Seiten Illustrationen, Karten",Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
23,1027287778,"RA S-46(1,2012)4",gei1027287778,GEI,PPN=1027287778,2012,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Ciencias sociales 4, [Schülerband] / autores: Bernardo Acuña, Susana Chacón, Marcelo Luna [und 5 weitere] coordinación autoral: Marcela Roberts","['Acuna, Bernardo', 'Chacon, Susana', 'Luna, Marcelo', 'Roberts, Marcela']","158 Seiten Illustrationen, Diagramme, Karten",Book,History | Geography,ISCED 1 - Primary level,Textbook,Argentina
24,1027288057,"RA S-46(1,2012)5",gei1027288057,GEI,PPN=1027288057,2012,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Ciencias sociales 5, [Schülerband] / autores: Lilian Romina Ligerón, Marcelo Luna, Gabriel Antonio Mereles [und 4 weitere] coordinación autoral: Marcela Roberts","['Ligeron, Lilian', 'Luna, Marcelo', 'Mereles, Gabriel', 'Roberts, Marcela']","160 Seiten Illustrationen, Diagramme, Karten",Book,History | Geography,ISCED 1 - Primary level,Textbook,Argentina
25,1027288596,"RA S-46(1,2012)5S",gei1027288596,GEI,PPN=1027288596,2012,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Ciencias sociales 5, cuadernillo de actividades / autores: Ana María Vera y Eugenia Sánchez coordinación autoral: Marcela Roberts","['Vera, Ana', 'Sanchez, Eugenia', 'Roberts, Marcela']","54 Seiten Illustrationen, Diagramme, Karten",Book,History | Geography,ISCED 1 - Primary level,Textbook,Argentina
26,1027288804,"RA S-46(1,2012)4S",gei1027288804,GEI,PPN=1027288804,2012,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Ciencias sociales 4, cuadernillo de actividades / autores: Ana María Vera y Eugenia Sánchez coordinación autoral: Marcela Roberts","['Vera, Ana', 'Roberts, Marcela']","48 Seiten Illustrationen, Diagramme, Karten",Book,History | Geography,ISCED 1 - Primary level,Textbook,Argentina
27,1027290183,"RA S-42(1,2004)1",gei1027290183,GEI,PPN=1027290183,2004,A-Z Editora,Buenos Aires,"Nuestro mundo ciencias sociales y naturales, ética y ciudadana, tecnología, arte, valores 1, [Schülerband] autores: Ciencias sociales, ética y ciudadana, tecnología, arte y valores: Sonia Villella, ciencias naturales: Alejandra Rico, selección de contenidos: Ricardo Lesser","['Villella, Sonia', 'Rico, Alejandra', 'Lesser, Ricardo']",64 Seiten Illustrationen,Book,History | Geography,ISCED 1 - Primary level,Textbook,Argentina
28,1027291015,"RA S-42(1,2004)2",gei1027291015,GEI,PPN=1027291015,2004,A-Z Editora,Buenos Aires,"Nuestro mundo ciencias sociales y naturales, ética y ciudadana, tecnología, arte, valores 2, [Schülerband] autores: Ciencias sociales, ética y ciudadana, tecnología, arte y valores: Sonia Villella, ciencias naturales: Alejandra Rico, selección de contenidos: Ricardo Lesser","['Villella, Sonia', 'Rico, Alejandra', 'Lesser, Ricardo']",64 Seiten Illustrationen,Book,History | Geography,ISCED 1 - Primary level,Textbook,Argentina
29,1027291384,"RA S-42(1,2006)3",gei1027291384,GEI,PPN=1027291384,2006,A-Z Editora,Buenos Aires,"Nuestro mundo ciencias sociales y naturales, ética y ciudadana, tecnología, arte, valores 3, [Schülerband] autores: Ciencias sociales, ética y ciudadana, tecnología, arte y valores: Sonia Villella, ciencias naturales: Alejandra Rico, selección de contenidos: Ricardo Lesser","['Villella, Sonia', 'Rico, Alejandra', 'Lesser, Ricardo']",64 Seiten Illustrationen,Book,History | Geography,ISCED 1 - Primary level,Textbook,Argentina
30,1027337228,"RA G-28(1,98)7",gei1027337228,GEI,PPN=1027337228,1998,A-Z Editora,Buenos Aires,"Ciencias sociales - geografía EGB 3er ciclo 7, [Schülerband] El espacio geográfico Nilda Louro, María Julia Loray","['Louro, Nilda', 'Loray, Maria']","139 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
31,1027337996,"RA H-57(1,98)7",gei1027337996,GEI,PPN=1027337996,1998,A-Z Editora,Buenos Aires,"Ciencias sociales - historia EGB 3er ciclo 7, [Schülerband] La cultura occidental hasta la modernidad Ema Cibotti","['Cibotti, Ema']","157 Seiten Illustrationen, Karten",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
