,ID,Call Number,GLOTREC|Cat Link,Catalogue,Library Catalogue,Year,Publisher,Place,Title,Authors,Pages,Format,School Subject,Level of Education,Document Type,Country of Use
62,1027635334,"RA S-53(1,2016)1",gei1027635334,GEI,PPN=1027635334,2016,Santillana,Ciudad Autónoma de Buenos Aires,"Construcción de ciudadanía 1, [Schülerband] / Mónica L. Ippolito, Cecilia G. Sagol, Julián E. Valle","['Ippolito, Monica', 'Sagol, Cecilia', 'Valle, Julian']",128 Seiten,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
63,1027636543,"RA S-53(1,2017)2",gei1027636543,GEI,PPN=1027636543,2017,Santillana,Ciudad Autónoma de Buenos Aires,"Construcción de ciudadanía 2, [Schülerband] / Diego A. Estévez, Agustín D. Galli, Mónica L. Ippolito, Cecilia G. Sagol, Julián E. Valle","['Estevez, Diego', 'Galli, Agustin', 'Ippolito, Monica', 'Sagol, Cecilia', 'Valle, Julian']",143 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
64,1027638309,"RA S-53(1,2017)3",gei1027638309,GEI,PPN=1027638309,2017,Santillana,Ciudad Autónoma de Buenos Aires,"Construcción de ciudadanía 3, [Schülerband] / Natalia L. Casola, Agustín D. Galli, Mónica L. Ippolito, Cecilia G. Sagol, Julián E. Valle, Diego A. Estévez (colaboración en el capítulo 7)","['Casola, Natalia', 'Galli, Agustin', 'Ippolito, Monica', 'Sagol, Cecilia', 'Valle, Julian', 'Estevez, Diego']",144 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
65,1027641091,"RA G-30(1,2017)4",gei1027641091,GEI,PPN=1027641091,2017,Santillana,Ciudad Autónoma de Buenos Aires,"Geografía 4. año, [Schülerband] El mundo y la globalización / Soraya Ataide, Rodolfo Bertoncello, Hernán Casaubón [und 5 weitere]","['Ataide, Soraya', 'Bertoncello, Rodolfo', 'Casaubon, Hernan']","256 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
66,102764211X,"RA G-31(1,2016)2",gei102764211X,GEI,PPN=102764211X,2016,Santillana,Ciudad Autónoma de Buenos Aires,"Geografía 2. año, [Schülerband] Estados y territorios en el mundo / Mariana B. Arzeno, Tomás Canosa, Gerardo D. Castro [und 6 weitere]","['Arzeno, Mariana', 'Canosa, Tomas', 'Castro, Gerardo']","191 Seiten Illustrationen, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
67,1027770398,"RA G-30(1,2017)5",gei1027770398,GEI,PPN=1027770398,2016,Santillana,Ciudad Autónoma de Buenos Aires,"Geografía 5. año, [Schülerband] Argentina en la globalización / Mariana B. Arzeno, Soraya Ataide, Rodolfo Bertoncello [und 5 weitere]","['Arzeno, Mariana', 'Ataide, Soraya', 'Bertoncello, Rodolfo']","256 Seiten Illustrationen, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
68,102777167X,"RA H-63(1,2017)5",gei102777167X,GEI,PPN=102777167X,2017,Santillana,Ciudad Autónoma de Buenos Aires,"Historia 5. año, [Schülerband] Argentina y el mundo : la segunda mitad del siglo xx / Andrea Andújar, Benjamín F. Carabajal, Verónica Giordano [und 8 weitere]","['Andujar, Andrea', 'Carabajal, Benjamin', 'Giordano, Veronica']",248 Seiten Illustrationen,Book,History,ISCED 3 - Upper secondary level,Textbook,Argentina
69,1027772323,"RA H-63(1,2016)4",gei1027772323,GEI,PPN=1027772323,2016,Santillana,Ciudad Autónoma de Buenos Aires,"Historia 4. año, [Schülerband] Argentina y el mundo : la primera mitad del siglo xx / Andrea Andújar, María Morichetti, Alejandra G. Pasino [und 3 weitere]","['Andujar, Andrea', 'Morichetti, Maria', 'Pasino, Alejanda']",256 Seiten Illustrationen,Book,History,ISCED 3 - Upper secondary level,Textbook,Argentina
70,1027786855,"RA H-65(1,2015)3",gei1027786855,GEI,PPN=1027786855,2015,Tinta Fresca,Ciudad Autónoma de Buenos Aires,"Historia 3, [Schülerband] La Argentina y el mundo (siglos XVIII a XX) / Mariana Alcobre, Damián Dolcera, Malena Nigro, Wanda Wechsler coordinación autoral: Mariana Alcobre","['Alcobre, Mariana', 'Dolcera, Damian', 'Nigro, Malena', 'Wechseler, Wanda']",248 Seiten Illustrationen,Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
71,1027789277,"RA S-55(1,2015)1",gei1027789277,GEI,PPN=1027789277,2015,Tinta Fresca,Ciudad de Buenos Aires,"Ciencias sociales 1, [Schülerband] Desde el origen del hombre hasta la Edad Media / Mariana Alcobre, Silvana Escalante, Damián Dolcera [und 4 weitere]","['Alcobre, Mariana', 'Escalante, Silvana', 'Dolcera, Damian']",223 Seiten Illustrationen,Book,Social studies/politics | History | Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
72,1031029133,"RA S-56(1,2017)1",gei1031029133,GEI,PPN=1031029133,2015,Estrada,San Isidro,"Huellas - ciudadanía 1, ES, [Schülerband] La dignidad humana. Los derechos. La democracia. El cuidado de uno mismo y de los otros / Irene Marrone, Adrián Fuertes, Romina Ferreyra [und 5 weitere]","['Marrone, Irene', 'Fuertes, Adrian', 'Ferreyra, Romina']",125 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
73,1031032274,"RA S-56(1,2017)2",gei1031032274,GEI,PPN=1031032274,2015,Estrada,San Isidro,"Huellas - ciudadanía 2, ES, [Schülerband] Estado y gobierno. La constitución nacional. La ciudadanía política. La convivencia social / María Elena Stella, María Martina Sosa, Irene Marrone  [und 5 weitere]","['Stella, Elena', 'Sosa, Maria', 'Marrone, Irene']",111 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
74,1031032347,"RA S-56(1,2017)1S",gei1031032347,GEI,PPN=1031032347,2015,Estrada,San Isidro,"Huellas - ciudadanía 1, ES, [Arbeitsheft] Saber hacer ciudadanía - La dignidad humana. Los derechos. La democracia. El cuidado de uno mismo y de los otros / autora: María Eugenia Younis Moreno","['Younis Moreno, Maria']",31 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
75,103104955X,"RA S-56(1,2017)2S",gei103104955X,GEI,PPN=103104955X,2017,Estrada,San Isidro,"Huellas - ciudadanía 2, ES, [Arbeitsheft] Saber hacer ciudadanía - Estado y gobierno. La constitución nacional. La ciudadanía política. La convivencia social / autora: María Eugenia Younis Moreno","['Younis Moreno, Maria']",29 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
76,1031101543,"RA H-54(1,2015)1",gei1031101543,GEI,PPN=1031101543,2015,Estrada,San Isidro,"Huellas - historia 1 ES, [Schülerband] De los primeros seres humanos al fin de los tiempos medievales / Alejandra Ardanaz, Juan Ferguson, Juan Gerardi [und 2 weitere] coordinación autoral: Juan Ferguson","['Ardanaz, Alejandra', 'Ferguson, Juan', 'Gerardi, Juan', 'Ferguson, Juan']",207 Seiten Illustrationen,Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
77,1031101977,"RA H-54(1,2017)3",gei1031101977,GEI,PPN=1031101977,2015,Estrada,San Isidro,"Huellas - historia 3 ES, [Schülerband] La expansión del capitalismo y la formación de los estados nacionales en América Latina / Esteban Campos, Alejandro Galliano, Matías Grinchpun [und 3 weitere] coordicnación autoral: Juan Ferguson","['Campos, Esteban', 'Galliano, Alejandro', 'Grinchpun, Matias']",239 Seiten Illustrationen,Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
78,1031122338,"RA G-24(1,2016)2",gei1031122338,GEI,PPN=1031122338,2013,Estrada,San Isidro,"Huellas - geografía 2 ES, [Schülerband] Sociedad y naturaleza en América Latina / Mariana Márquez, Luis Domínguez Roca, Raquel Alvarado Quetgles  [und 4 weitere]","['Marquez, Mariana', 'Dominguez Roca, Luis', 'Alvarado Quetgles, Raquel']","239 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
79,1031254293,"RA S-57(1,2017)4",gei1031254293,GEI,PPN=1031254293,2017,Estrada,San Isidro,"Ciencias sociales 4, [Schülerband] / Autoras: Melina López Calvo, Camila Perochena, María Martina Sosa","['Lopez Calvo, Melina', 'Perochena, Camila', 'Sosa, Maria']",160 Seiten Illustrationen,Book,Social studies/politics,ISCED 1 - Primary level,Textbook,Argentina
80,1031254927,"RA S-57(1,2017)5",gei1031254927,GEI,PPN=1031254927,2017,Estrada,San Isidro,"Ciencias sociales 5, [Schülerband] / Autoras: Natalia Arce, Aldana Chiodi, Melina López Calvo","['Arce, Natalia', 'Chiodi, Aldana', 'Lopez Calvo, Melina']",176 Seiten Illustrationen,Book,Social studies/politics,ISCED 1 - Primary level,Textbook,Argentina
81,1031255745,"RA S-57(1,2017)6",gei1031255745,GEI,PPN=1031255745,2017,Estrada,San Isidro,"Ciencias sociales 6, [Schülerband] / Autoras: Natalia Arce, Aldana Chiodi, Melina López Calvo","['Arce, Natalia', 'Chiodi, Aldana', 'Lopez Calvo, Melina']",176 Seiten Illustrationen,Book,Social studies/politics,ISCED 1 - Primary level,Textbook,Argentina
82,1031264930,"RA G-33(1,2017)1",gei1031264930,GEI,PPN=1031264930,2017,Doce Orcas,Ciudad Autónoma de Buenos Aires,"Geografía 1, [Schülerband] Ambientes y población en el mundo, problemáticas ambientales a escala local, regional y global, población, tabajo y condiciones de vida en el mundo, herramientas y  formas de conocer en Geografía / Andrea Silvana Galante, Viviana Estela Quiñones, Laura Inés Pitetti, María Cecilia Sánchez","['Galante, Andrea', 'Quinones, Viviana', 'Pitetti, Laura', 'Sanchez, Maria']","191 Seiten Illustrationen, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
83,103128513X,"RA G-32(1,2012)2",gei103128513X,GEI,PPN=103128513X,2012,Doce Orcas,Cuidad Autónoma de Buenos Aires,"Geografía 2, [Schülerband] Los territorios y las relaciones entre los Estados, las actividades económicas, población mundial, trabajo y condiciones de vida / Viviana E. Quiñones, Marcelo N. Musa, Laura I. Pitetti [und 3 weitere]","['Quinones, Viviana', 'Musa, Marcelo', 'Pitetti, Laura']","191 Seiten Illustrationen, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
84,1031296581,"RA S-58(1,2016)1",gei1031296581,GEI,PPN=1031296581,2016,Doce Orcas,Ciudad Autónoma de Buenos Aires,"Educación ciudadana 1, [Schülerband] Estado, gobierno y participación, derechos, igualdad y diferencias, el cuidado de uno mismo y de los demás / Marcelo Eugenio Lucarini, Valeria Silvina Pita, Lorena Verónica Puopolo, María Martina Sosa","['Lucarini, Marcelo', 'Pita, Valeria', 'Puopolo, Lorena', 'Sosa, Maria']",191 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
85,1031297901,"RA S-59(1,2017)2",gei1031297901,GEI,PPN=1031297901,2017,Doce Orcas,Ciudad Autónoma de Buenos Aires,"Formación ética y ciudadana 2, [Schülerband] Estado, gobierno y participación, derechos, igualdad y diferencias, el cuidado de uno mismo y de los demás / María Martina Sosa, Marcelo Eugenio Lucarini, Valeria Silvina Pita [und 2 weitere]","['Sosa, Maria', 'Lucarini, Marcelo', 'Pita, Valeria']",191 Seiten Illustrationen,Book,Social studies/politics | Ethics,ISCED 2 - Lower secondary level,Textbook,Argentina
86,176710104X,,gei176710104X,GEI,PPN=176710104X,1918,Librería Del Colegio,Buenos Aires,Geografía física y económica de la República Argentina A. García Aparicio,"['Garcia Aparicio, A.']",1 Online-Ressource (199 Seiten),eBook,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
87,176710197X,,gei176710197X,GEI,PPN=176710197X,1917,Franzetti Y Cía,Buenos Aires,"Manual de historia de la civilización argentina T. 1 preparado con los materiales de la Sección de historia de la Facultad de filosofía y letras de la Universidad de Buenos Aires, y con la cooperación de sus miembros: Luis María Torres, Rómulo D. Carbia, Emilio Ravignani y Diego Luis Molinari; ordenado por Rómulo D. Carbia","['Carbia, Romulo']","1 Online-Ressource (510 Seiten) Illustrationen, Karten 20 cm",eBook,History,Not elsewhere classified,Textbook,Argentina
88,369675509,"RA G-17(1,41)",gei369675509,GEI,PPN=369675509,1940,Estrada,Buenos Aires,Geografía argentina para la escuela primaria [Schülerbd.] Luis Arena,"['Arena, Luis']","424 S. Ill., graph. Darst., Kt. 26 cm",Book,Social studies and science (primary level) | Geography,ISCED 1 - Primary level,Textbook,Argentina
89,41626929X,"RA G-2(1,18)",gei41626929X,GEI,PPN=41626929X,1918,Librería Del Colegio,Buenos Aires,Geografía física y económica de la República Argentina A. García Aparicio,"['Garcia Aparicio, A.']","199 Seiten Karten 8""",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
90,455601968,"RA H-39(1,1862)",gei455601968,GEI,PPN=455601968,1862,Bernheim Y Boneo,Buenos Aires,Compendio de la historia de las provincias unidas del Rio de la Plata desde su descubrimiento hasta la declaración de su independencia el 9 de Julio de 1816 destinado para el uso de las escuelas de la República Argentina Juana Manso de Noronha,"['Noronha, Juana']","132 Seiten 8""",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
91,510007384,"RA G-15(18,66)1",gei510007384,GEI,PPN=510007384,1966,Estrada,Buenos Aires,"Geografía de la República Argentina 1, [Schülerbd.] Parte física : [4 bachillerato y magisterio] por Federico A. Daus","['Daus, Federico']",,Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
92,581233999,"RA H-27(1,17)1",gei581233999,GEI,PPN=581233999,1917,Franzetti Y Cía,Buenos Aires,"Manual de historia de la civilización argentina T. 1 preparado con los materiales de la Sección de historia de la Facultad de filosofía y letras de la Universidad de Buenos Aires, y con la cooperación de sus miembros: Luis María Torres, Rómulo D. Carbia, Emilio Ravignani y Diego Luis Molinari; ordenado por Rómulo D. Carbia","['Carbia, Romulo']","510 Seiten Illustrationen, Karten 20 cm",Book,History,Not elsewhere classified,Textbook,Argentina
93,600027503,"RA D-7(3,45)1",gei600027503,GEI,PPN=600027503,1945,Mercur,Buenos Aires,Lesebuch für den Unterricht in der deutschen Sprache Bd. 1,[],"122 S., [3] S. Inh.-Verz., [1] doppelte Bildtaf. (Wappen und Fahne Argentiniens farb.) Ill., 1 Kt. 23 cm",Book,German taught in non-German-speaking countries,Not elsewhere classified,Reading Book,Argentina
94,60002833X,"RA D-7(3,44)3",gei60002833X,GEI,PPN=60002833X,1944,Mercur,Buenos Aires,Argentinien einst und jetzt,[],"195 S., [2] S. Inh.-Verz., [1] Titelbild, [5] doppelte Bildtaf. (Wappen und Fahne Argentiniens farb.) Illustrationen, 1 Karte, Tabelle 23 x 16 cm",Book,German taught in non-German-speaking countries,Not elsewhere classified,Reading Book,Argentina
95,600028658,"RA D-7(3,44)2",gei600028658,GEI,PPN=600028658,1944,Mercur,Buenos Aires,Lesebuch für den Unterricht in der deutschen Sprache Bd. 2,[],"184 S., [3] S. Inh.-Verz., [3] Bildtaf. (Wappen und Fahne Argentiniens farb.) Ill., 1 Kt., Tab. 23 cm",Book,German taught in non-German-speaking countries,Not elsewhere classified,Reading Book,Argentina
96,633115541,"RA H-1(6,84)1",gei633115541,GEI,PPN=633115541,1984,Stella,Viamonte,"Historia ciclo básico y comercial, bachillerato 1, [Schülerbd.] / Alfredo L. Drago","['Drago, Alfredo']","332 S., [2] Bl. Ill., Kt.",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
97,633179604,"RA H-1(4,84)2",gei633179604,GEI,PPN=633179604,1984,Stella,Viamonte,"Historia ciclo basico y comercial, bachillerato 2, [Schülerbd.] / Alfredo L. Drago","['Drago, Alfredo']","494 S. Ill., Kt.",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
98,633661198,"RA H-2(14,64)",gei633661198,GEI,PPN=633661198,1964,Kapelusz,Buenos Aires,Historia - Moderna y contemporánea de acuerdo con los programas de segundo año del ciclo básico y de las escuelas nacionales de comercio José C. Astolfi,"['Astolfi, Jose']","326, [1] S. Ill., Kt.",Book,History,Vocational training - all levels | ISCED 2 - Lower secondary level,Textbook,Argentina
99,633662550,"RA H-1(4,84)3,1",gei633662550,GEI,PPN=633662550,1984,Stella,Viamonte,"Historia ciclo básico y comercial, bachillerato 3,[1], [Schülerbd.] / Alfredo L. Drago","['Drago, Alfredo']","430 S. Ill., Kt.",Book,History,Vocational training - all levels | ISCED 2 - Lower secondary level,Textbook,Argentina
100,633665517,"RA H-3(1,89)2",gei633665517,GEI,PPN=633665517,1989,Santillana,Buenos Aires,"Historia 2, [Schülerbd.] / elaborado por ...: Aníbal Pablo Jáuregui ... ... una creación del Departamento Editorial de Ediciones Santillana bajo la dir. de Herminia Mérega ...","['Jauregui, Anibal', 'Merega, Herminia']","272 S. Ill., graph. Darst., Kt.",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
101,645041645,"RA H-47(1,2007)1",gei645041645,GEI,PPN=645041645,2007,Doce Orcas,Buenos Aires,"Los primeros hombres, Los primeros estados, Los mundos durante el Medioevo","['Bravo, Sebastian', 'Gonzalez Velasco, Carolina', 'Juen, Maria']","192 S. Ill., Kt. 28 cm",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
102,645041920,"RA H-47(1,2005)2",gei645041920,GEI,PPN=645041920,2005,Doce Orcas,Buenos Aires,"Las sociedades indígenas en América, El fortalecimiento de las monarquías y la expansión europea, Las relaciones coloniales, El fortalecimiento de la burguesía","['Bravo, Sebastian', 'Gonzalez Velasco, Carolina', 'Juen, Maria']","192 S. Ill., Kt.",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
103,654549907,"RA RA-1(1,83)",gei654549907,GEI,PPN=654549907,1983,Estrada,Buenos Aires,Cuatro hojitas libro de lectura para primer grado María Elena Poirier ; Laura Elba Veneri,"['Poirier, Maria', 'Veneri, Laura']",77 S. Ill.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
104,654550719,"RA RA-2(20,54)",gei654550719,GEI,PPN=654550719,1954,Atlántida,Buenos Aires,¡Upa! libro para aprender a leer por Constancio C. Vigil,"['Vigil, Constancio']",111 S. zahlr. Ill.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
105,654551081,"RA RA-3(7,69)",gei654551081,GEI,PPN=654551081,1969,Kapelusz,Buenos Aires,Semillita libro de lectura para primer grado María I. Araujo ; Martha M. Bacigalupo,"['Araujo, Maria', 'Bacigalupo, Martha']",99 S. zahlr. Ill.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
106,654551383,"RA RA-4(3,69)",gei654551383,GEI,PPN=654551383,1969,Kapelusz,Buenos Aires,Campanita libro de lectura inicial Noelia F. Benavente,"['Benavente, Noelia']","[VI], 116 S. zahlr. Ill.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
107,654551987,"RA RA-5(2,69)",gei654551987,GEI,PPN=654551987,1969,Estrada,Buenos Aires,Mi amigo Gregorio Libro de lectura inicial,"['Frontini De Ferrari, Aldonza', 'Trogliero De Lagomarsino, Elena']","203 S. zahlr. Ill., Notenbeisp.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
108,654556016,"RA RA-6(5,56)",gei654556016,GEI,PPN=654556016,1956,Lasserre,Buenos Aires,Rayitos dorados metodo de lectura para primer grado inferior M. Dalila G. de Gallardo,"['Gallardo, M.']","73 S. zahlr. Ill., Kt.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
109,654556261,"RA RA-7(15,56)",gei654556261,GEI,PPN=654556261,1956,Estrada,Buenos Aires,Arroyito metodo de lectura y escritura Lidia E. Alcántara ; Raquel T. Lomazzi,"['Alcantara, Lidia', 'Lomazzi, Raquel']","118 S. zahlr. Ill., Kt. Beil.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
110,654556431,"RA RA-8(2,69)",gei654556431,GEI,PPN=654556431,1969,Estrada,Buenos Aires,Colorín Lidia E. Alcántara ; Raquel T. Lomazzi,"['Alcantara, Lidia', 'Lomazzi, Raquel']",[132] S. zahlr. Ill.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
111,654557489,"RA RA-9(9,50)",gei654557489,GEI,PPN=654557489,1950,Kapelusz,Buenos Aires,Mamá libro de lectura inicial por Raquel R. Robert,"['Robert, Raquel']",103 S. zahlr. Ill. Beil.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
112,654557667,"RA RA-9(15,56)",gei654557667,GEI,PPN=654557667,1956,Kapelusz,Buenos Aires,Mamá libro de lectura inicial por Raquel R. Robert,"['Robert, Raquel']",104 S. zahlr. Ill. Beil.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
113,654559198,"RA RA-10(21,58)",gei654559198,GEI,PPN=654559198,1958,Ed. Copihue,Buenos Aires,Silabario hispano americano (método fónico-sensorial-objetivo-sintético) Adrián Dufflocq Galdames,"['Dufflocq Galdames, Adrian']",80 S. zahlr. Ill.,Book,Literacy - Primers,Not elsewhere classified | ISCED 1 - Primary level,Textbook,Argentina
114,654560749,"RA RA-11(18,56)",gei654560749,GEI,PPN=654560749,1956,Kapelusz,Buenos Aires,Pimpollito libro de lectura para primer grado María Elena Altube,"['Altube, Maria']","[IV], 98 S. zahlr. Ill.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
115,654561311,"RA RA-12(11,29)1",gei654561311,GEI,PPN=654561311,1929,Librería Del Colegio,Buenos Aires,Pininos método de lectura y escritura simultáneas ; [libro primero de lectura] Pablo A. Pizzurno,"['Pizzurno, Pablo']","XII, 77 S. zahlr. Ill.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
116,654568154,"RA RA-13(11,56)",gei654568154,GEI,PPN=654568154,1956,Kapelusz,Buenos Aires,Mariposas libro de lectura para primer grado por Cecilia Borja ; Luisa Buren de Sanguinetti,"['Borja, Cecilia', 'Buren De Sanguinetti, Luisa']",105 S. zahlr. Ill.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
117,654572232,"RA RA-14(105,20)1",gei654572232,GEI,PPN=654572232,1920,Estrada,Buenos Aires,El nene método de lectura Libro 1o. por Andrés Ferreyra,"['Ferreyra, Andres']","[VIII], 136 S. zahlr. Ill.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
118,654584176,"RA RA-15(1,42)",gei654584176,GEI,PPN=654584176,1942,Librería Del Colegio,Buenos Aires,Lucerito texto de lectura para primer grado inferior José de Guevara,"['Guevara, Jose']",85 S. zahlr. Ill.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
119,654584354,"RA RA-15(2,56)",gei654584354,GEI,PPN=654584354,1956,Lasserre,Buenos Aires,Lucerito texto de lectura para primer grado inferior José de Guevara,"['Guevara, Jose']","85 S. zahlr. Ill., Kt.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
120,654584745,"RA RA-16(10,56)",gei654584745,GEI,PPN=654584745,1956,Lasserre,Buenos Aires,Primeras luces libro de lectura para primer grado inferior Silvio Eguren,"['Eguren, Silvio']","92 S. zahlr. Ill., Kt.",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
121,654596069,"RA RA-17(1,56)",gei654596069,GEI,PPN=654596069,1956,Kapelusz,Buenos Aires,Mamita libro de lectura inicial Clotilde Guillén de Rezzano,"['Guillen De Rezzano, Clotilde']","[IV], 87 S. zahlr. Ill. Beil. (16 S.)",Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
122,654597405,"RA RA-18(1,50)",gei654597405,GEI,PPN=654597405,1950,Librería Del Colegio,Buenos Aires,Capullos libro de lectura para primer grado Xenia E. O. de Lopez Romera,"['Lopez Romera, Xenia']",91 S. zahlr. Ill.,Book,Literacy - Primers,ISCED 1 - Primary level,Textbook,Argentina
123,65477739X,"RA RA-19(1,16)",gei65477739X,GEI,PPN=65477739X,1916,Estrada,Buenos Aires,Mi patria libro de lectura Andrés Ferreyra,"['Ferreyra, Andres']","166 Seiten Illustrationen, Karten",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
124,65477787X,"RA RA-12(1,01)2",gei65477787X,GEI,PPN=65477787X,1901,Fernández,Buenos Aires,El libro del escolar serie de libros de lectura 1er libro Pablo A. Pizzurno,"['Pizzurno, Pablo']","VIII, 119 Seiten Illustrationen",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
125,654778787,"RA RA-20(10,07)",gei654778787,GEI,PPN=654778787,1907,Cabaut,Buenos Aires,Episodios nacionales por Juan M. Espora,"['Espora, Juan']",222 Seiten Illustrationen,Book,Mother tongue - Readers,Not elsewhere classified,Reading Book,Argentina
126,654780250,"RA RA-14(1,1898)",gei654780250,GEI,PPN=654780250,1898,Estrada,Buenos Aires,El nene método de lectura Libro 3o. / por Andrés Ferreyra y $ José Ma. Aubín por Andrés Ferreyra,"['Ferreyra, Andres', 'Aubin, Jose']",136 Seiten Illustrationen,Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
127,654783098,"RA RA-21(10,56)",gei654783098,GEI,PPN=654783098,1956,Lasserre,Buenos Aires,Tierra pobre ... tierra rica libro de lectura para 4o. grado / Guillermina M Pougens de Martinez,"['Pougens De Martinez, Guillermina']","[X], 213 S. zahlr. Ill., Kt.",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
128,654783594,"RA RA-22(2,69)",gei654783594,GEI,PPN=654783594,1969,Kapelusz,Buenos Aires,Córdoba nuestra libro de lectura para cuarto grado,"['Bustos, Damian']","[VI], 120 S. Ill., Kt.",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
129,654786410,"RA RA-23(9,69)",gei654786410,GEI,PPN=654786410,1969,Kapelusz,Buenos Aires,Alfarero libro de lectura para quinto grado José D. Forgione,"['Forgione, Jose']","[X], 160 S. zahlr. Ill.",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
130,654787069,"RA RA-24(27,56)",gei654787069,GEI,PPN=654787069,1956,Estrada,Buenos Aires,Proa libro de lectura para cuarto grado A. E. J. Fesquet ; P. O. Tolosa,"['Fesquet, Alberto', 'Tolosa, P.']","VI, 202 S. Ill.",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
131,654787824,"RA RA-25(1,65)",gei654787824,GEI,PPN=654787824,1965,Kapelusz,Buenos Aires,Aguapey libro de lectura regional para cuarto grado ; Mesopotamia $ 3010. Colaboradores regionales: Reynaldo R. Mernes ; J. Alfredo Asuad,"['Forgione, Jose', 'Mernes, Reynaldo', 'Asuad, J.']","[VI], [147] S. Ill.",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
132,654788200,"RA RA-26(1,67)",gei654788200,GEI,PPN=654788200,1967,Estrada,Buenos Aires,El sol albañil libro de lectura para tercer grado Ernesto Camilli,"['Camilli, Ernesto']","[VI], 142 S. zahlr. Ill, Kt.",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
133,654788707,"RA RA-27(2,68)",gei654788707,GEI,PPN=654788707,1968,Estrada,Buenos Aires,Aíre libre libro de lectura para segundo grado María Elena Walsh,"['Walsh, Maria']","[VI], 115, [26] S. zahlr. Ill., Notenbeisp.",Book,Mother tongue - Readers,ISCED 1 - Primary level,Reading Book,Argentina
